time,_id,timestamp,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_qd_0,target_qd_1,target_qd_2,target_qd_3,target_qd_4,target_qd_5,target_qdd_0,target_qdd_1,target_qdd_2,target_qdd_3,target_qdd_4,target_qdd_5,target_current_0,target_current_1,target_current_2,target_current_3,target_current_4,target_current_5,target_moment_0,target_moment_1,target_moment_2,target_moment_3,target_moment_4,target_moment_5,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,joint_control_output_0,joint_control_output_1,joint_control_output_2,joint_control_output_3,joint_control_output_4,joint_control_output_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5,target_TCP_speed_0,target_TCP_speed_1,target_TCP_speed_2,target_TCP_speed_3,target_TCP_speed_4,target_TCP_speed_5,actual_digital_input_bits,joint_temperatures_0,joint_temperatures_1,joint_temperatures_2,joint_temperatures_3,joint_temperatures_4,joint_temperatures_5,actual_execution_time,robot_mode,joint_mode_0,joint_mode_1,joint_mode_2,joint_mode_3,joint_mode_4,joint_mode_5,safety_mode,actual_tool_accelerometer_0,actual_tool_accelerometer_1,actual_tool_accelerometer_2,speed_scaling,target_speed_fraction,actual_momentum,actual_main_voltage,actual_robot_voltage,actual_robot_current,actual_joint_voltage_0,actual_joint_voltage_1,actual_joint_voltage_2,actual_joint_voltage_3,actual_joint_voltage_4,actual_joint_voltage_5,actual_digital_output_bits,runtime_state,payload,payload_cog_0,payload_cog_1,payload_cog_2,script_control_line,output_bit_registers0_to_31,output_bit_registers32_to_63,output_int_register_0,output_int_register_1,output_int_register_2,output_int_register_3,output_int_register_4,output_int_register_5,output_int_register_6,output_int_register_7,output_int_register_8,output_int_register_9,output_int_register_10,output_int_register_11,output_int_register_12,output_int_register_13,output_int_register_14,output_int_register_15,output_int_register_16,output_int_register_17,output_int_register_18,output_int_register_19,output_int_register_20,output_int_register_21,output_int_register_22,output_int_register_23,output_double_register_0,output_double_register_1,output_double_register_2,output_double_register_3,output_double_register_4,output_double_register_5,output_double_register_6,output_double_register_7,output_double_register_8,output_double_register_9,output_double_register_10,output_double_register_11,output_double_register_12,output_double_register_13,output_double_register_14,output_double_register_15,output_double_register_16,output_double_register_17,output_double_register_18,output_double_register_19,output_double_register_20,output_double_register_21,output_double_register_22,output_double_register_23
1,2021:10:05:12:08:13.122408,1550304.53,-2.129701594,-0.594146954,-1.74068946,2.344257646,-2.065201454,12.62832238,1.047197551,0.202583739,0.035684084,-0.165048513,0.208116167,-0.000870831,0,0,0,0,0,0,0.671240204,-0.057162205,1.212380589,0.190733289,0.183742746,-0.017483216,0.03181208,-4.468967531,7.555410053,1.636413363,0.009461313,1.18E-05,-2.130379502,-0.594201998,-1.740734935,2.344236537,-2.065083329,12.6283422,1.043739915,0.200038716,0.033387322,-0.171867281,0.245941207,-0.00083797,0.889508486,0.032253329,1.240860462,0.259521037,-0.029534198,-0.140780166,0.671240204,-0.057162205,1.212380589,0.190733289,0.183742746,-0.017483216,-0.098449917,-0.126780485,0.359289246,1.559875265,-0.095733829,-0.007397889,0.103710931,-0.04948327,0.007573238,-0.053663472,0.031550022,0.797503625,-13.45443908,-75.01398603,1.477255282,0.018131793,-0.006299191,-0.023950261,-0.09832853,-0.126838185,0.359318856,1.559809995,-0.095044856,-0.006832275,0.113385963,-0.050222281,0.010218927,-0.063360666,0.037984309,0.838812641,0,34.4375,35.75,37.875,40.9375,43,42.9375,0.88626,7,253,253,253,253,253,253,1,0.785298109,9.557653427,0.938527107,1,1,0.879639213,47.83197021,47.91973877,1.030593395,47.71392822,47.58493042,47.84292221,47.54193115,47.82859039,47.5132637,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2021:10:05:12:08:13.162730,1550304.57,-2.087813692,-0.586043604,-1.739262096,2.337655706,-2.056876807,12.62828755,1.047197551,0.202583739,0.035684084,-0.165048513,0.208116167,-0.000870831,0,0,0,0,0,0,0.671346929,-0.067423763,1.206097219,0.194501828,0.184448058,-0.01748319,0.032942308,-4.582839551,7.507831069,1.649982697,0.012140464,1.19E-05,-2.088200871,-0.586095766,-1.739320755,2.337786837,-2.056829278,12.62828219,1.04766655,0.199842945,0.037027895,-0.167143628,0.181972131,-0.000675849,0.73079741,0.00771907,1.226169705,0.1981785,0.137624681,-0.128568813,0.671346929,-0.067423763,1.206097219,0.194501828,0.184448058,-0.01748319,-0.093869499,-0.128745606,0.359718025,1.558586176,-0.068030342,0.018223676,0.119487753,-0.046451367,0.009360895,-0.061967065,0.033126904,0.865426953,-8.492413597,-76.71485211,3.270864008,-0.025458678,-0.017245236,0.025244976,-0.093795346,-0.128759749,0.359719181,1.558619704,-0.067703999,0.018577501,0.113242579,-0.045872351,0.009796642,-0.065189688,0.034764396,0.838819285,0,34.4375,35.75,37.875,40.9375,43,42.9375,0.881448,7,253,253,253,253,253,253,1,0.363918662,10.0364933,0.59376204,1,1,0.885627149,47.84182358,47.93495941,1.008213878,47.69959641,47.57059479,47.82859039,47.55626297,47.82859039,47.49893188,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2021:10:05:12:08:13.201586,1550304.61,-2.04592579,-0.577940255,-1.737834733,2.331053765,-2.04855216,12.62825272,1.047197551,0.202583739,0.035684084,-0.165048513,0.208116167,-0.000870831,0,0,0,0,0,0,0.671454067,-0.077740742,1.199566081,0.197932086,0.185091948,-0.017483167,0.0340769,-4.697398299,7.458375931,1.662333989,0.014586306,1.20E-05,-2.046431367,-0.578033046,-1.737848282,2.33118002,-2.049023453,12.62823413,1.045443654,0.20118247,0.037431251,-0.163832501,0.189158961,-0.001126667,0.622928858,-0.027015671,1.163425803,0.144539073,0.580452621,-0.150451839,0.671454067,-0.077740742,1.199566081,0.197932086,0.185091948,-0.017483167,-0.089237346,-0.130491381,0.360109489,1.557025193,-0.040466923,0.044018663,0.117171818,-0.041671182,0.010011304,-0.068085317,0.032705957,0.856032044,-0.218386751,-77.7062469,4.771389167,-0.050930759,-0.011339245,0.326340912,-0.089271518,-0.130509342,0.360102535,1.557039457,-0.040467424,0.044072001,0.112919635,-0.041625052,0.009370442,-0.066859645,0.031458842,0.83882772,0,34.4375,35.75,37.875,40.9375,43,42.9375,0.869148,7,253,253,253,253,253,253,1,-0.440533102,9.691728592,-0.306457818,1,1,0.891758769,47.85256958,47.92510986,0.9097417,47.69959641,47.58493042,47.84292221,47.52759933,47.81425476,47.48460007,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2021:10:05:12:08:13.241480,1550304.65,-2.004037888,-0.569836905,-1.73640737,2.324451825,-2.040227514,12.62821788,1.047197551,0.202583739,0.035684084,-0.165048513,0.208116167,-0.000870831,0,0,0,0,0,0,0.6715598,-0.08784897,1.193146211,0.201527803,0.185670313,-0.017483144,0.035196609,-4.809708964,7.409763335,1.675281046,0.016783246,1.21E-05,-2.004717652,-0.57006772,-1.736520767,2.324484034,-2.040031258,12.62825807,1.047838449,0.2029313,0.032811083,-0.172951683,0.248746961,-0.00078691,0.85727042,0.035386913,1.24785018,0.231697872,-0.024202723,-0.143580198,0.6715598,-0.08784897,1.193146211,0.201527803,0.185670313,-0.017483144,-0.084926406,-0.13208911,0.360399373,1.555336745,-0.014167664,0.069095209,0.102907175,-0.037573449,0.006338604,-0.059200424,0.023070925,0.798824463,-6.289212895,-76.26872899,2.695308632,0.009957827,-0.008829884,-0.040573576,-0.084764054,-0.132091229,0.360468764,1.555073844,-0.013339008,0.069650696,0.11242578,-0.037488365,0.008940352,-0.068366609,0.028075345,0.838837945,0,34.4375,35.75,37.875,40.9375,43,42.9375,0.861876,7,253,253,253,253,253,253,1,0.785298169,9.691728592,0.804451764,1,1,0.898033031,47.82659531,47.92510986,0.94555217,47.67092896,47.57059479,47.82859039,47.54193115,47.81425476,47.48460007,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2021:10:05:12:08:13.282376,1550304.69,-1.962149986,-0.561733556,-1.734980006,2.317849884,-2.031902867,12.62818305,1.047197551,0.202583739,0.035684084,-0.165048513,0.208116167,-0.000870831,0,0,0,0,0,0,0.6716688,-0.098318851,1.186409344,0.205224742,0.186320419,-0.01748312,0.036350903,-4.926110968,7.358750375,1.688592573,0.019252697,1.21E-05,-1.962539498,-0.561742858,-1.735010147,2.317917033,-2.03189737,12.62819785,1.051364541,0.205076143,0.037399232,-0.16192311,0.184893578,-0.001114497,0.834536433,-0.100480981,1.172078013,0.189975873,0.111359432,-0.149407953,0.6716688,-0.098318851,1.186409344,0.205224742,0.186320419,-0.01748312,-0.08033664,-0.1334878,0.360820119,1.552700292,0.013368945,0.095003872,0.11809098,-0.033099927,0.010136821,-0.076283691,0.028130171,0.8662452,-0.355416279,-77.03224802,3.607854309,0.002096051,-0.011151337,0.045563167,-0.080279614,-0.133509985,0.360817712,1.552727471,0.013677526,0.095313026,0.111770041,-0.033469705,0.008506399,-0.06970702,0.024621784,0.838849962,0,34.4375,35.75,37.875,40.9375,43,42.9375,0.85116,7,253,253,253,253,253,253,1,0.306457818,9.538499832,0.287304223,1,1,0.904449428,47.83465576,47.93944168,0.970167518,47.68526077,47.57059479,47.79992294,47.54193115,47.79992294,47.49893188,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2021:10:05:12:08:13.321660,1550304.73,-1.920262084,-0.553630206,-1.733552643,2.311247944,-2.02357822,12.62814822,1.047197551,0.202583739,0.035684084,-0.165048513,0.208116167,-0.000870831,0,0,0,0,0,0,0.671775784,-0.108620885,1.179621979,0.208616968,0.186911902,-0.017483099,0.037483844,-5.040719565,7.307355031,1.700806921,0.021499468,1.22E-05,-1.920698945,-0.553622083,-1.733610511,2.311322852,-2.024022404,12.62816183,1.04811275,0.201854825,0.035860278,-0.15781121,0.180032372,-0.001246626,0.692614973,-0.162308216,1.159527898,0.172271073,0.53398335,-0.136187196,0.671775784,-0.108620885,1.179621979,0.208616968,0.186911902,-0.017483099,-0.07577941,-0.134734866,0.361144874,1.549987215,0.040589546,0.121059758,0.117595647,-0.029592637,0.009533179,-0.07692695,0.0244281,0.867868292,7.87169446,-77.08284466,5.405612216,-0.042155812,-0.015651243,0.331684082,-0.075824485,-0.13477047,0.361149225,1.550004958,0.040578611,0.121058402,0.110961791,-0.029575903,0.008068611,-0.070877692,0.021106196,0.838863769,0,34.4375,35.75,37.875,40.9375,43,42.9375,0.854725,7,253,253,253,253,253,253,1,-0.229843363,9.481039047,-0.229843363,1,1,0.911008024,47.85346222,47.9501915,0.990311265,47.69959641,47.59926605,47.84292221,47.54193115,47.81425476,47.5132637,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2021:10:05:12:08:13.362220,1550304.77,-1.878374182,-0.545526857,-1.73212528,2.304646003,-2.015253574,12.62811338,1.047197551,0.202583739,0.035684084,-0.165048513,0.208116167,-0.000870831,0,0,0,0,0,0,0.671880268,-0.118602582,1.172977235,0.212074345,0.187421739,-0.017483077,0.038590303,-5.151833388,7.257039644,1.713255863,0.023436103,1.23E-05,-1.879091565,-0.545645193,-1.732269287,2.304734154,-2.015215699,12.62813793,1.046707273,0.201831758,0.034634538,-0.170118839,0.246665031,-0.000670686,0.890294313,-0.006592065,1.2170223,0.220385611,-0.028405566,-0.159975037,0.671880268,-0.118602582,1.172977235,0.212074345,0.187421739,-0.017483077,-0.071524448,-0.135869426,0.361413071,1.547083664,0.066704057,0.146357706,0.100761334,-0.026985519,0.006140322,-0.065630248,0.014364768,0.799839691,1.619928192,-76.4522158,3.628415218,-0.003501335,-0.012927077,-0.050937966,-0.071404575,-0.135877805,0.36146315,1.546910933,0.067360832,0.146886204,0.110010713,-0.02581319,0.007627015,-0.071875825,0.01753676,0.838879368,0,34.4375,35.75,37.875,40.9375,43,42.9375,0.862465,7,253,253,253,253,253,253,1,0.919373453,9.730035782,0.881066203,1,1,0.917709484,47.85435867,47.93764877,0.967931688,47.68526077,47.59926605,47.82859039,47.54193115,47.81425476,47.5132637,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2021:10:05:12:08:13.403107,1550304.81,-1.83648628,-0.537423507,-1.730697916,2.298044063,-2.006928927,12.62807855,1.047197551,0.202583739,0.035684084,-0.165048513,0.208116167,-0.000870831,0,0,0,0,0,0,0.671985988,-0.128742522,1.166126151,0.215452268,0.187921902,-0.017483057,0.039709847,-5.264778302,7.205161807,1.725418712,0.025335991,1.24E-05,-1.836866681,-0.537547187,-1.730747223,2.298080369,-2.007041756,12.62808969,1.050003409,0.204901367,0.038520209,-0.161418557,0.184353113,-0.000910474,0.682965815,-0.074808642,1.203992963,0.213199675,0.210157678,-0.16174601,0.671985988,-0.128742522,1.166126151,0.215452268,0.187921902,-0.017483057,-0.067059211,-0.136839084,0.361730802,1.543586418,0.093769813,0.172626921,0.115124474,-0.021015723,0.009280943,-0.080958385,0.016999272,0.865472662,8.4685649,-76.13398704,4.79360001,-0.023670688,-0.013059021,0.087939936,-0.067025399,-0.136837348,0.361759336,1.543450028,0.094020933,0.172795783,0.108926764,-0.022187178,0.007181639,-0.072699001,0.01392178,0.838896757,0,34.4375,35.75,37.875,40.9375,43,42.9375,0.874249,7,253,253,253,253,253,253,1,-0.038307227,9.557653427,0.536301196,1,1,0.924555081,47.86869049,47.93675232,0.961218894,47.71392822,47.61359787,47.85725403,47.57059479,47.84292221,47.54193115,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2021:10:05:12:08:13.442226,1550304.85,-1.794598378,-0.529320157,-1.729270553,2.291442122,-1.99860428,12.62804372,1.047197551,0.202583739,0.035684084,-0.165048513,0.208116167,-0.000870831,0,0,0,0,0,0,0.672093715,-0.139100488,1.1589588,0.218891425,0.188496444,-0.017483036,0.040850637,-5.380224272,7.150889132,1.737802044,0.027518411,1.25E-05,-1.795096699,-0.529332117,-1.729287505,2.291554137,-1.999056164,12.62805396,1.047059178,0.199189633,0.036883056,-0.162220284,0.185565025,-0.000831151,0.636562228,-0.075402811,1.160504699,0.144999668,0.574912488,-0.129406586,0.672093715,-0.139100488,1.1589588,0.218891425,0.188496444,-0.017483036,-0.06265623,-0.137613861,0.362053182,1.539556262,0.120544632,0.198725767,0.112853909,-0.018371809,0.007211657,-0.073765672,0.01111011,0.861326868,14.7572449,-76.45296437,5.531968142,-0.024959879,-0.011927292,0.300461092,-0.06269207,-0.137654669,0.362037631,1.539626875,0.120555807,0.198786457,0.107720142,-0.018702853,0.006732513,-0.073345203,0.010269666,0.838915938,0,34.4375,35.75,37.875,40.9375,43,42.9375,0.851017,7,253,253,253,253,253,253,1,-0.210689753,9.423578262,-0.306457818,1,1,0.931546683,47.84450912,47.9430275,0.938839316,47.69959641,47.62792969,47.88592148,47.58493042,47.87158585,47.54193115,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2021:10:05:12:08:13.482348,1550304.89,-1.752710476,-0.521216808,-1.727843189,2.284840182,-1.990279634,12.62800888,1.047197551,0.202583739,0.035684084,-0.165048513,0.208116167,-0.000870831,0,0,0,0,0,0,0.67219893,-0.149169836,1.15195714,0.222290384,0.188946674,-0.017483016,0.041964812,-5.492523811,7.097871099,1.75004064,0.029228629,1.25E-05,-1.753443543,-0.52130063,-1.727911592,2.284889145,-1.990129773,12.62801772,1.048295617,0.197248474,0.032882817,-0.179218814,0.250172257,-0.000842018,0.876048923,-0.030722177,1.217355013,0.268938035,0.000568392,-0.143713787,0.67219893,-0.149169836,1.15195714,0.222290384,0.188946674,-0.017483016,-0.058550992,-0.138328152,0.362272634,1.53558198,0.146247246,0.224192751,0.096611224,-0.018185154,0.001479732,-0.052177629,0.001110092,0.797952896,8.644575324,-76.51035114,3.646549317,0.02488436,-0.007534775,-0.080731006,-0.058409285,-0.138335524,0.362297887,1.535446105,0.146962504,0.224857515,0.106401245,-0.01536456,0.006279666,-0.073812806,0.006588916,0.838936911,0,34.4375,35.75,37.875,40.9375,43,42.9375,0.850524,7,253,253,253,253,253,253,1,0.67037648,9.576807022,0.861912608,1,1,0.938686701,47.83824158,47.93944168,0.976880372,47.69959641,47.59926605,47.81425476,47.55626297,47.81425476,47.49893188,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2021:10:05:12:08:13.522246,1550304.93,-1.710822574,-0.513113458,-1.726415826,2.278238241,-1.981954987,12.62797405,1.047197551,0.202583739,0.035684084,-0.165048513,0.208116167,-0.000870831,0,0,0,0,0,0,0.672303982,-0.159248125,1.14483641,0.225646288,0.189395693,-0.017482997,0.043077264,-5.604992703,7.043951453,1.762124203,0.030934244,1.26E-05,-1.71119434,-0.513202862,-1.726401329,2.278310223,-1.981897179,12.62794562,1.050236464,0.201312214,0.03733911,-0.160543442,0.185860366,-0.001064832,0.821415603,-0.063995063,1.168135881,0.187949225,0.123461142,-0.143369362,0.672303982,-0.159248125,1.14483641,0.225646288,0.189395693,-0.017482997,-0.05424963,-0.138892196,0.362548595,1.530933882,0.172927312,0.250647158,0.110560031,-0.01141948,0.007162061,-0.078848572,0.00463764,0.864247194,15.40392064,-75.54036217,5.271114507,-0.010131556,-0.008418972,0.067245159,-0.054181326,-0.13888583,0.362539955,1.530912338,0.173238228,0.251008214,0.104980639,-0.012175994,0.005823128,-0.07410059,0.002888094,0.838959674,0,34.4375,35.75,37.875,40.875,43,42.9375,0.875964,7,253,253,253,253,253,253,1,0.440533102,9.232042313,0.383072257,1,1,0.945978018,47.83644485,47.93227768,0.979121506,47.68526077,47.57059479,47.81425476,47.54193115,47.81425476,47.49893188,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2021:10:05:12:08:13.561613,1550304.97,-1.668934672,-0.505010109,-1.724988463,2.2716363,-1.97363034,12.62793922,1.047197551,0.202583739,0.035684084,-0.165048513,0.208116167,-0.000870831,0,0,0,0,0,0,0.672408327,-0.169319859,1.137569092,0.228808831,0.189846604,-0.017482979,0.044182221,-5.717458166,6.988921804,1.773511538,0.032647045,1.27E-05,-1.66943771,-0.505129413,-1.724977732,2.27178566,-1.974115674,12.62796972,1.049674511,0.202438653,0.034708988,-0.159025997,0.183765262,-0.001030632,0.708859921,-0.112512827,1.172059894,0.157739937,0.591775358,-0.147124171,0.672408327,-0.169319859,1.137569092,0.228808831,0.189846604,-0.017482979,-0.049973347,-0.139286764,0.362782146,1.52600174,0.199366983,0.27722436,0.109391536,-0.008040122,0.006260786,-0.079010655,0.000854657,0.865800389,22.97054329,-74.37071209,6.880113041,-0.042040421,-0.023160272,0.322914225,-0.050012048,-0.13931164,0.362763689,1.526030186,0.199380334,0.277237777,0.103469015,-0.009140194,0.005362931,-0.074207741,-0.000824181,0.838984229,0,34.4375,35.75,37.875,40.875,43,42.9375,0.88458,7,253,253,253,253,253,253,1,-0.383072257,9.672574997,-0.191536129,1,1,0.953423861,47.84719467,47.91526031,0.992547095,47.68526077,47.58493042,47.82859039,47.55626297,47.81425476,47.49893188,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2021:10:05:12:08:13.602983,1550305.01,-1.62704677,-0.496906759,-1.723561099,2.26503436,-1.965305694,12.62790438,1.047197551,0.202583739,0.035684084,-0.165048513,0.208116167,-0.000870831,0,0,0,0,0,0,0.672512674,-0.179337434,1.1303081,0.232115995,0.190220452,-0.017482961,0.045287187,-5.829388136,6.933940058,1.785419605,0.034067121,1.27E-05,-1.627731148,-0.496986107,-1.723588943,2.26508729,-1.965035741,12.62789759,1.04308629,0.199894533,0.034978122,-0.171723545,0.251951993,-0.000759245,0.927550673,-0.095011413,1.197303653,0.274992585,-0.069418229,-0.149896562,0.672512674,-0.179337434,1.1303081,0.232115995,0.190220452,-0.017482961,-0.046063466,-0.139632512,0.362960948,1.520922153,0.224642011,0.302801449,0.091305619,-0.009819586,0.002944924,-0.064200325,-0.007105366,0.791087612,16.92398351,-74.94921029,5.032941651,0.002661527,-0.007823011,-0.047479706,-0.045904875,-0.139619115,0.362968941,1.520804243,0.22538633,0.303545397,0.101877155,-0.006259539,0.004899105,-0.074133851,-0.004539263,0.839010576,0,34.4375,35.75,37.875,40.875,43,42.9375,0.861372,7,253,253,253,253,253,253,1,0.59376204,9.615114212,0.823605418,1,1,0.961027654,47.82211685,47.91704941,1.010449648,47.69959641,47.58493042,47.85725403,47.55626297,47.82859039,47.49893188,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
